city,date,actual_mean_temp,record_min_temp,record_max_temp
"Charlotte, North Carolina",7/1/2014,81,56,104
"Charlotte, North Carolina",7/2/2014,85,56,101
"Charlotte, North Carolina",7/3/2014,82,56,99
"Charlotte, North Carolina",7/4/2014,75,55,99
"Charlotte, North Carolina",7/5/2014,72,57,100
"Charlotte, North Carolina",7/6/2014,74,57,99
"Charlotte, North Carolina",7/7/2014,79,55,100
"Charlotte, North Carolina",7/8/2014,83,58,101
"Charlotte, North Carolina",7/9/2014,80,57,101
"Charlotte, North Carolina",7/10/2014,78,53,101
"Charlotte, North Carolina",7/11/2014,78,55,100
"Charlotte, North Carolina",7/12/2014,79,59,102
"Charlotte, North Carolina",7/13/2014,81,56,100
"Charlotte, North Carolina",7/14/2014,85,59,102
"Charlotte, North Carolina",7/15/2014,81,58,100
"Charlotte, North Carolina",7/16/2014,76,58,100
"Charlotte, North Carolina",7/17/2014,74,62,100
"Charlotte, North Carolina",7/18/2014,77,62,102
"Charlotte, North Carolina",7/19/2014,70,60,103
"Charlotte, North Carolina",7/20/2014,74,60,101
"Charlotte, North Carolina",7/21/2014,74,57,103
"Charlotte, North Carolina",7/22/2014,79,58,103
"Charlotte, North Carolina",7/23/2014,80,56,101
"Charlotte, North Carolina",7/24/2014,80,59,100
"Charlotte, North Carolina",7/25/2014,77,62,101
"Charlotte, North Carolina",7/26/2014,78,60,100
"Charlotte, North Carolina",7/27/2014,80,57,103
"Charlotte, North Carolina",7/28/2014,79,54,102
"Charlotte, North Carolina",7/29/2014,73,59,103
"Charlotte, North Carolina",7/30/2014,74,58,101
"Charlotte, North Carolina",7/31/2014,72,56,100
"Charlotte, North Carolina",8/1/2014,68,58,98
"Charlotte, North Carolina",8/2/2014,69,59,98
"Charlotte, North Carolina",8/3/2014,77,60,98
"Charlotte, North Carolina",8/4/2014,78,58,98
"Charlotte, North Carolina",8/5/2014,77,55,100
"Charlotte, North Carolina",8/6/2014,78,57,102
"Charlotte, North Carolina",8/7/2014,78,50,100
"Charlotte, North Carolina",8/8/2014,77,55,102
"Charlotte, North Carolina",8/9/2014,76,56,104
"Charlotte, North Carolina",8/10/2014,70,56,104
